"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-01","1.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-02","8.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-03","10.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-04","7.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-05","5.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-06","4.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-07","4.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-08","2.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-09","3.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-10","8.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-11","7.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-12","10.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-13","2.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-15","2.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-18","5.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-19","3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-20","2.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-21","-0.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-22","-5.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-23","-5.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-24","-0.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-25","1.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-26","3.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02-27","5.6",",,W"
